"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","400","0","50",0.49,0,0.49,397,232.69814182288,627.421894963917,627.421894963917,627.421894963917,230.421894963917,230.421894963917,230.421894963917,237.190371292473,-2.27624685896316,-2.27624685896316,-2.27624685896316,4.49222946959358,595.56569400514,634.190371292473,38.6246772873337
"2","400","0","50",0.5,0,0.5,372,225.77443949409,591.211364878985,591.211364878985,591.211364878985,219.211364878985,219.211364878985,219.211364878985,227.28693611842,-6.5630746151048,-6.5630746151048,-6.5630746151048,1.51249662432932,551.965483126936,599.28693611842,47.3214529914836
"3","400","0","50",0.51,0,0.51,234,203.623311576157,429.924674572399,429.924674572399,429.924674572399,195.924674572399,195.924674572399,195.924674572399,202.80904021443,-7.69863700375873,-7.69863700375873,-7.69863700375873,-0.814271361727094,408.179378694433,436.80904021443,28.6296615199972
"4","400","0","50",0.5,0,0.5,331,237.771842852181,547.406888346871,547.406888346871,547.406888346871,216.406888346871,216.406888346871,216.406888346871,222.517043801235,-21.3649545053105,-21.3649545053105,-21.3649545053105,-15.2547990509464,515.408874249473,553.517043801235,38.1081695517622
"5","400","0","50",0.49,0,0.49,461,216.664455889403,654.108548591258,654.108548591258,654.108548591258,193.108548591258,193.108548591258,193.108548591258,200.468217339092,-23.555907298145,-23.555907298145,-23.555907298145,-16.1962385503114,627.388963897155,661.468217339092,34.0792534419362
"6","400","0","50",0.51,0,0.51,290,230.385806661832,508.105188080057,508.105188080057,508.105188080057,218.105188080057,218.105188080057,218.105188080057,226.966391930037,-12.2806185817745,-12.2806185817745,-12.2806185817745,-3.4194147317952,474.456106537623,516.966391930037,42.5102853924138
"7","400","0","50",0.5,0,0.5,359,216.649597627454,562.432770426847,562.432770426847,562.432770426847,203.432770426847,203.432770426847,203.432770426847,214.631948572179,-13.2168272006078,-13.2168272006078,-13.2168272006078,-2.01764905527546,539.987632955717,573.631948572179,33.6443156164619
"8","400","0","50",0.5,0,0.5,340,224.178992866514,548.466692450342,548.466692450342,548.466692450342,208.466692450342,208.466692450342,208.466692450342,217.476968980567,-15.7123004161716,-15.7123004161716,-15.7123004161716,-6.70202388594674,527.782875698636,557.476968980567,29.6940932819315
"9","400","0","50",0.5,0,0.5,371,236.985018469296,612.824583186573,612.824583186573,612.824583186573,241.824583186573,241.824583186573,241.824583186573,242.434831968829,4.83956471727649,4.83956471727649,4.83956471727649,5.44981349953272,572.511835969201,613.434831968829,40.9229959996284
"10","400","0","50",0.5,0,0.5,337,218.893038359528,546.062736104597,546.062736104597,546.062736104597,209.062736104597,209.062736104597,209.062736104597,215.74916721949,-9.8303022549309,-9.8303022549309,-9.8303022549309,-3.14387114003787,513.177760164931,552.74916721949,39.571407054559
"11","400","0","50",0.51,0,0.51,305,242.500268145962,533.806899014721,533.806899014721,533.806899014721,228.806899014721,228.806899014721,228.806899014721,234.982547737384,-13.6933691312414,-13.6933691312414,-13.6933691312414,-7.51772040857861,509.760143770579,539.982547737384,30.222403966805
"12","400","0","50",0.5,0,0.5,372,231.568499260664,606.544242540169,606.544242540169,606.544242540169,234.544242540169,234.544242540169,234.544242540169,245.933894464716,2.97574327950468,2.97574327950468,2.97574327950468,14.3653952040525,570.558854709431,617.933894464716,47.3750397552856
"13","400","0","50",0.51,0,0.51,240,260.212146897029,497.372328689382,497.372328689382,497.372328689382,257.372328689382,257.372328689382,257.372328689382,261.922832625209,-2.83981820764706,-2.83981820764706,-2.83981820764706,1.71068572818035,449.910702179559,501.922832625209,52.0121304456499
"14","400","0","50",0.51,0,0.51,349,227.093446540901,581.069653402365,581.069653402365,581.069653402365,232.069653402365,232.069653402365,232.069653402365,233.862366280058,4.97620686146422,4.97620686146422,4.97620686146422,6.76891973915713,541.962457366612,582.862366280058,40.8999089134461
"15","400","0","50",0.51,0,0.51,249,250.414843646407,489.07467000586,489.07467000586,489.07467000586,240.07467000586,240.07467000586,240.07467000586,237.626489460256,-10.3401736405462,-10.3401736405462,-10.3401736405462,-12.7883541861505,444.09469743917,486.626489460256,42.5317920210863
"16","400","0","50",0.5,0,0.5,363,245.504734863991,610.156149606792,610.156149606792,610.156149606792,247.156149606792,247.156149606792,247.156149606792,251.11781964464,1.65141474280159,1.65141474280159,1.65141474280159,5.61308478064956,564.681164880966,614.11781964464,49.4366547636739
"17","400","0","50",0.5,0,0.5,383,221.321240164927,596.397714673938,596.397714673938,596.397714673938,213.397714673938,213.397714673938,213.397714673938,224.070196487782,-7.92352549098874,-7.92352549098874,-7.92352549098874,2.74895632285526,574.563456078757,607.070196487782,32.5067404090253
"18","400","0","50",0.51,0,0.51,251,237.772881032383,494.389309793111,494.389309793111,494.389309793111,243.389309793111,243.389309793111,243.389309793111,251.210744859234,5.61642876072736,5.61642876072736,5.61642876072736,13.4378638268509,452.256823145634,502.210744859234,49.9539217136004
